[2019-05-27 09:55:49,201] Starting training with params:
{'name': '3d_unet_with_transform_organ_26_27_new/0', 'model': 'models_zoo.segmentation.unet3d.Modified3DUNet', 'model_params': {'n_classes': 1}, 'loss': 'losses.LossBinaryDice', 'loss_params': {}, 'metrics': ['metrics.Dice'], 'steps_per_epoch': 2500, 'new_save': True, 'name_save': 'tt_1', 'save_dir': PosixPath('../weights/3d_unet_with_transform_organ_26_27_new/0')}


[2019-05-27 09:55:50,730] Starting stage:
{'load_best': False, 'optimizer': 'Adam', 'optimizer_params': {'lr': 0.0003}, 'scheduler': 'ReduceLROnPlateau', 'scheduler_params': {'patience': 15, 'factor': 0.5, 'min_lr': 1e-06, 'verbose': True}, 'epochs': 500, 'augmentation': 'mix_transform'}

[2019-05-27 09:55:50,730] Epoch 0 | optimizer "Adam" | lr 0.0003
[2019-05-27 09:58:16,238] Train metrics: loss: 1.26061 | metrics.Dice: -0.06915 | grad: 0.85437
[2019-05-27 09:58:16,238] Valid metrics: loss: 1.13858 | metrics.Dice: -0.08280

[2019-05-27 09:58:16,271] Epoch 1 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:00:19,456] Train metrics: loss: 1.11328 | metrics.Dice: -0.08701 | grad: 0.40375
[2019-05-27 10:00:19,457] Valid metrics: loss: 1.09140 | metrics.Dice: -0.08742

[2019-05-27 10:00:19,500] Epoch 2 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:02:27,871] Train metrics: loss: 1.07995 | metrics.Dice: -0.09741 | grad: 0.28786
[2019-05-27 10:02:27,871] Valid metrics: loss: 1.06139 | metrics.Dice: -0.09711

[2019-05-27 10:02:27,912] Epoch 3 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:04:30,559] Train metrics: loss: 1.04922 | metrics.Dice: -0.11804 | grad: 0.32134
[2019-05-27 10:04:30,559] Valid metrics: loss: 1.02009 | metrics.Dice: -0.13769

[2019-05-27 10:04:30,594] Epoch 4 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:06:37,722] Train metrics: loss: 0.98604 | metrics.Dice: -0.17559 | grad: 0.65682
[2019-05-27 10:06:37,722] Valid metrics: loss: 0.99054 | metrics.Dice: -0.16782

[2019-05-27 10:06:37,762] Epoch 5 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:08:41,034] Train metrics: loss: 0.94213 | metrics.Dice: -0.21090 | grad: 0.69068
[2019-05-27 10:08:41,034] Valid metrics: loss: 0.92139 | metrics.Dice: -0.21797

[2019-05-27 10:08:41,067] Epoch 6 | optimizer "Adam" | lr 0.0003
