[2019-05-29 16:08:26,915] Starting training with params:
{'name': '3d_unet_full_chanAtt/0', 'model': 'models_zoo.segmentation.unet3d.ChannelAttentionModified3DUNet', 'model_params': {'n_classes': 1}, 'loss': 'losses.LossBinaryDice', 'loss_params': {}, 'metrics': ['metrics.Dice'], 'steps_per_epoch': 2500, 'new_save': True, 'name_save': 'tt_1', 'save_dir': PosixPath('../weights/3d_unet_full_chanAtt/0')}


[2019-05-29 16:08:29,828] Starting stage:
{'load_best': False, 'optimizer': 'Adam', 'optimizer_params': {'lr': 0.0003}, 'scheduler': 'ReduceLROnPlateau', 'scheduler_params': {'patience': 15, 'factor': 0.5, 'min_lr': 1e-06, 'verbose': True}, 'epochs': 500, 'augmentation': 'mix_transform'}

[2019-05-29 16:08:29,828] Epoch 0 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:09:23,424] Starting training with params:
{'name': '3d_unet_full_chanAtt/0', 'model': 'models_zoo.segmentation.unet3d.ChannelAttentionModified3DUNet', 'model_params': {'n_classes': 1}, 'loss': 'losses.LossBinaryDice', 'loss_params': {}, 'metrics': ['metrics.Dice'], 'steps_per_epoch': 2500, 'new_save': True, 'name_save': 'tt_1', 'save_dir': PosixPath('../weights/3d_unet_full_chanAtt/0')}


[2019-05-29 16:09:25,833] Starting stage:
{'load_best': False, 'optimizer': 'Adam', 'optimizer_params': {'lr': 0.0003}, 'scheduler': 'ReduceLROnPlateau', 'scheduler_params': {'patience': 15, 'factor': 0.5, 'min_lr': 1e-06, 'verbose': True}, 'epochs': 500, 'augmentation': 'mix_transform'}

[2019-05-29 16:09:25,833] Epoch 0 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:12:52,535] Train metrics: loss: 1.11186 | metrics.Dice: -0.02192 | grad: 0.68222
[2019-05-29 16:12:52,535] Valid metrics: loss: 1.03761 | metrics.Dice: -0.05824

[2019-05-29 16:12:52,568] Epoch 1 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:16:08,625] Train metrics: loss: 0.97488 | metrics.Dice: -0.08846 | grad: 0.80348
[2019-05-29 16:16:08,626] Valid metrics: loss: 0.93079 | metrics.Dice: -0.12560

[2019-05-29 16:16:08,688] Epoch 2 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:19:31,614] Train metrics: loss: 0.89240 | metrics.Dice: -0.15187 | grad: 0.75282
[2019-05-29 16:19:31,614] Valid metrics: loss: 0.87800 | metrics.Dice: -0.17185

[2019-05-29 16:19:31,694] Epoch 3 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:22:45,361] Train metrics: loss: 0.83216 | metrics.Dice: -0.20420 | grad: 0.94372
[2019-05-29 16:22:45,361] Valid metrics: loss: 0.81492 | metrics.Dice: -0.22632

[2019-05-29 16:22:45,443] Epoch 4 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:25:55,222] Train metrics: loss: 0.79155 | metrics.Dice: -0.24280 | grad: 0.86174
[2019-05-29 16:25:55,222] Valid metrics: loss: 0.79465 | metrics.Dice: -0.23761

[2019-05-29 16:25:55,257] Epoch 5 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:29:03,864] Train metrics: loss: 0.77151 | metrics.Dice: -0.26214 | grad: 0.82458
[2019-05-29 16:29:03,864] Valid metrics: loss: 0.77338 | metrics.Dice: -0.26764

[2019-05-29 16:29:03,903] Epoch 6 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:32:13,172] Train metrics: loss: 0.75468 | metrics.Dice: -0.27854 | grad: 0.88189
[2019-05-29 16:32:13,172] Valid metrics: loss: 0.75598 | metrics.Dice: -0.28066

[2019-05-29 16:32:13,225] Epoch 7 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:35:35,295] Train metrics: loss: 0.74841 | metrics.Dice: -0.28503 | grad: 0.73095
[2019-05-29 16:35:35,296] Valid metrics: loss: 0.74468 | metrics.Dice: -0.29793

[2019-05-29 16:35:35,350] Epoch 8 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:38:50,626] Train metrics: loss: 0.73477 | metrics.Dice: -0.29862 | grad: 0.70029
[2019-05-29 16:38:50,626] Valid metrics: loss: 0.73246 | metrics.Dice: -0.30209

[2019-05-29 16:38:50,675] Epoch 9 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:42:07,298] Train metrics: loss: 0.72642 | metrics.Dice: -0.30616 | grad: 0.77448
[2019-05-29 16:42:07,298] Valid metrics: loss: 0.72930 | metrics.Dice: -0.31044

[2019-05-29 16:42:07,380] Epoch 10 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:45:26,698] Train metrics: loss: 0.71967 | metrics.Dice: -0.31318 | grad: 0.77462
[2019-05-29 16:45:26,699] Valid metrics: loss: 0.73862 | metrics.Dice: -0.30132

[2019-05-29 16:45:26,699] Epoch 11 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:48:29,993] Train metrics: loss: 0.71407 | metrics.Dice: -0.31834 | grad: 0.75748
[2019-05-29 16:48:29,994] Valid metrics: loss: 0.71613 | metrics.Dice: -0.31983

[2019-05-29 16:48:30,041] Epoch 12 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:51:43,873] Train metrics: loss: 0.70544 | metrics.Dice: -0.32650 | grad: 0.86347
[2019-05-29 16:51:43,873] Valid metrics: loss: 0.68659 | metrics.Dice: -0.34654

[2019-05-29 16:51:43,927] Epoch 13 | optimizer "Adam" | lr 0.0003
[2019-05-29 16:55:02,602] Train metrics: loss: 0.68869 | metrics.Dice: -0.34300 | grad: 0.84272
